,ID,data_pth,image_ID,image_pth,valid
0,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_0,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_0.mat,0
1,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_1,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_1.mat,0
2,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_2,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_2.mat,0
3,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_3,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_3.mat,0
4,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_4,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_4.mat,0
5,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_5,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_5.mat,0
6,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_6,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_6.mat,0
7,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_7,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_7.mat,0
8,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_8,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_8.mat,0
9,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_9,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_9.mat,0
10,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_10,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_10.mat,0
11,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_11,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_11.mat,0
12,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_12,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_12.mat,0
13,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_13,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_13.mat,0
14,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_14,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_14.mat,0
15,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_15,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_15.mat,0
16,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_16,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_16.mat,0
17,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_17,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_17.mat,0
18,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_18,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_18.mat,0
19,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_19,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_19.mat,0
20,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_20,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_20.mat,0
21,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_21,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_21.mat,0
22,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_22,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_22.mat,0
23,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_23,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_23.mat,0
24,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_24,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_24.mat,0
25,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_25,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_25.mat,0
26,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_26,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_26.mat,0
27,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_27,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_27.mat,0
28,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_28,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_28.mat,0
29,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_29,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_29.mat,0
30,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_30,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_30.mat,0
31,conesT1_19_17408,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_19_17408_50.mat,conesT1_19_17408_31,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_19_17408_31.mat,0
32,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_0,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_0.mat,0
33,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_1,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_1.mat,0
34,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_2,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_2.mat,0
35,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_3,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_3.mat,0
36,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_4,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_4.mat,0
37,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_5,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_5.mat,0
38,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_6,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_6.mat,0
39,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_7,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_7.mat,0
40,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_8,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_8.mat,0
41,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_9,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_9.mat,0
42,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_10,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_10.mat,0
43,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_11,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_11.mat,0
44,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_12,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_12.mat,0
45,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_13,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_13.mat,0
46,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_14,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_14.mat,0
47,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_15,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_15.mat,0
48,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_16,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_16.mat,0
49,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_17,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_17.mat,0
50,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_18,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_18.mat,0
51,conesT1_20_06144,/mnt/data2/DLProjects/DL_CSdata_Unet/T1/50/conesT1_20_06144_50.mat,conesT1_20_06144_19,/mnt/data2/DLProjects/DL_CSdata_Unet/data_prepare/conesT1_20_06144_19.mat,0
